 time   show click f1     f2       f3        f4       f5         f6      f7      f8       f9      f10        f11     f12      f13     f14        f15
1510894273 1 0 1fbe01fe f3845767 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a ddd2926e 44956a24 1fbe01fe 28905ebd ecad2386 7801e8d9 07d7df22 a99f214b 
9117863715 0 0 1fbe01fe f3845767 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a 96809ac8 711ee120 1fbe01fe 28905ebd ecad2386 7801e8d9 07d7df22 a99f234a 
4215119486 1 0 1fbe01fe f3845767 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a b3cf8def 8a4875bd 1fbe01fe 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a 
4480838376 0 0 1fbe01fe f3845767 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a e8275b8f 6332421a 1fbe01fe 28905ebd ecad2386 7801e8d9 07d7df22 a99f254a 
6417042096 1 1 fe8cc448 9166c161 0569f928 ecad2386 7801e8d9 07d7df22 a99f214a 9644d0bf 779d90c2 fe8cc448 0569f928 ecad2386 7801e8d9 07d7df22 a99f214c 
7801103869 0 0 d6137915 bb1ef334 f028772b ecad2386 7801e8d9 07d7df22 a99f214a 05241af0 8a4875bd d6137915 f028772b ecad2386 7801e8d9 07d7df22 a99f214a 
9988544911 1 0 8fda644b 25d4cfcd f028772b ecad2386 7801e8d9 07d7df22 a99f214a b264c159 be6db1d7 8fda644b f028772b ecad2386 7801e8d9 07d7df22 a99f214d 
5742328737 0 1 e151e245 7e091613 f028772b ecad2386 7801e8d9 07d7df22 a99f214a e6f67278 be74e6fe e151e245 f028772b ecad2386 7801e8d9 07d7df22 a99f214a 
1186029916 1 0 1fbe01fe f3845767 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a 37e8da74 5db079b5 1fbe01fe 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a 
0619467364 0 0 84c7ba46 c4e18dd6 50e219e0 ecad2386 7801e8d9 07d7df22 c357dbff f1ac7184 373ecbe6 84c7ba46 50e219e0 ecad2386 7801e8d9 07d7df22 c357dbff 
9616595934 0 1 e151e245 7e091613 f028772b ecad2386 7801e8d9 07d7df22 a99f214a 5d877109 8f5c9827 e151e245 f028772b ecad2386 7801e8d9 07d7df22 a99f214a 
1793526909 1 0 1fbe01fe f3845767 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a 6f407810 1f0bc64f 1fbe01fe 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a 
8167339219 1 0 9e8cf15d 0d3cb7be f028772b ecad2386 7801e8d9 07d7df22 a99f214a 58811cdf 8326c04b 9e8cf15d f028772b ecad2386 7801e8d9 07d7df22 a99f214f 
3120869786 0 0 d6137915 bb1ef334 f028772b ecad2386 7801e8d9 07d7df22 a99f214a 72aab6df 04258293 d6137915 f028772b ecad2386 7801e8d9 07d7df22 a99f214a 
9031436658 0 1 85f751fd c4e18dd6 50e219e0 98fed791 d9b5648e 0f2161f8 a99f214a 6dec2796 aad45b01 85f751fd 50e219e0 98fed791 d9b5648e 0f2161f8 a99f214d 
9235338011 1 0 1fbe01fe f3845767 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a a4f47b2e 8a4875bd 1fbe01fe 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a 
9470236873 0 0 d9750ee7 98572c79 f028772b ecad2386 7801e8d9 07d7df22 a99f214a 9b1fe278 128f4ba1 d9750ee7 f028772b ecad2386 7801e8d9 07d7df22 a99f214d 
5081229495 1 0 1fbe01fe f3845767 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a c26c53cf be87996b 1fbe01fe 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a 
8767727519 0 1 0c2fe9d6 27e3c518 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a b7a69808 158e4944 0c2fe9d6 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a 
3316086592 0 0 85f751fd c4e18dd6 50e219e0 66a5f0f3 d9b5648e cef3e649 a99f214a fa60af6b b4b19c97 85f751fd 50e219e0 66a5f0f3 d9b5648e cef3e649 a99f214d 
2136496837 1 0 543a539e c7ca3108 3e814130 ecad2386 7801e8d9 07d7df22 a99f214a 8a308c73 3223bcfe 543a539e 3e814130 ecad2386 7801e8d9 07d7df22 a99f214a 
3841529209 0 0 1fbe01fe f3845767 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a 1b6530bc 1aa0e912 1fbe01fe 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a 
1948955159 1 0 543a539e c7ca3108 3e814130 ecad2386 7801e8d9 07d7df22 a99f214a a2d12b33 607e78f2 543a539e 3e814130 ecad2386 7801e8d9 07d7df22 a99f214a 
1151096125 1 0 1fbe01fe f3845767 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a c6563308 7fdd04d2 1fbe01fe 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a 
8600843539 0 0 1fbe01fe f3845767 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a e99d0c2e d25693ce 1fbe01fe 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a 
1727438633 0 1 85f751fd c4e18dd6 50e219e0 ffc6ffd0 7801e8d9 0f2161f8 fb23c543 69890c7f 9fef9da8 85f751fd 50e219e0 ffc6ffd0 7801e8d9 0f2161f8 fb23c543 
0676403131 0 1 e151e245 7e091613 f028772b ecad2386 7801e8d9 07d7df22 a99f214a c62f7206 69f9dd0e e151e245 f028772b ecad2386 7801e8d9 07d7df22 a99f214a 
9911213467 1 0 85f751fd c4e18dd6 50e219e0 54c5d545 2347f47a 0f2161f8 9af87478 2a2bfc89 ecf10acf 85f751fd 50e219e0 54c5d545 2347f47a 0f2161f8 9af87478 
3863261125 0 0 543a539e c7ca3108 3e814130 ecad2386 7801e8d9 07d7df22 a99f214a 50d86760 d787e91b 543a539e 3e814130 ecad2386 7801e8d9 07d7df22 a99f214a 
8749600249 0 1 1fbe01fe f3845767 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a 431b3174 f39b265e 1fbe01fe 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a 
3619779489 1 0 85f751fd c4e18dd6 50e219e0 685d1c4c 2347f47a 8ded1f7a 6a943594 8a014cbb 81b42528 85f751fd 50e219e0 685d1c4c 2347f47a 8ded1f7a 6a943594 
6094813740 0 0 f84e52b6 d7e2f29b 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a a8649089 e9b8d8d7 f84e52b6 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a 
8516192015 1 0 1fbe01fe f3845767 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a a4459495 517bef98 1fbe01fe 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a 
5872316145 0 0 1fbe01fe f3845767 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a ac77b71a d787e91b 1fbe01fe 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a 
5800243858 0 1 543a539e c7ca3108 3e814130 ecad2386 7801e8d9 07d7df22 a99f214a 6769bdb2 d787e91b 543a539e 3e814130 ecad2386 7801e8d9 07d7df22 a99f214a 
9679619273 0 0 85f751fd c4e18dd6 50e219e0 d2bb6502 2347f47a 8ded1f7a 4b2309e9 22c2dcf4 d6e0e6ff 85f751fd 50e219e0 d2bb6502 2347f47a 8ded1f7a 4b2309e9 
1076459409 0 0 030440fe 08ba7db9 76b2941d ecad2386 7801e8d9 07d7df22 a99f214a 692824c7 293291c1 030440fe 76b2941d ecad2386 7801e8d9 07d7df22 a99f214a 
6789044052 1 0 85f751fd c4e18dd6 50e219e0 0acbeaa3 45a51db4 f95efa07 a99f214a ce6e6bbd 2cd8ff6d 85f751fd 50e219e0 0acbeaa3 45a51db4 f95efa07 a99f214a 
9183388340 0 0 030440fe 08ba7db9 76b2941d ecad2386 7801e8d9 07d7df22 a99f214a 5035aded 3db9fde9 030440fe 76b2941d ecad2386 7801e8d9 07d7df22 a99f214a 
6863914220 1 0 1fbe01fe f3845767 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a b2b14786 36d749e5 1fbe01fe 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a 
3452514432 0 0 1fbe01fe f3845767 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a 07f39509 49ea3580 1fbe01fe 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a 
9189647526 0 0 6ec06dbd d262cf1e f66779e6 ecad2386 7801e8d9 07d7df22 a99f214a 3aea6370 6360f9ec 6ec06dbd f66779e6 ecad2386 7801e8d9 07d7df22 a99f214a 
0836622373 0 0 85f751fd c4e18dd6 50e219e0 e2a1ca37 2347f47a 8ded1f7a 432cd280 45919d0d 1ccc7835 85f751fd 50e219e0 e2a1ca37 2347f47a 8ded1f7a 432cd280 
2992705885 0 1 85f751fd c4e18dd6 50e219e0 a607e6a7 7801e8d9 0f2161f8 890abcbb 9f02f646 e8c7729d 85f751fd 50e219e0 a607e6a7 7801e8d9 0f2161f8 890abcbb 
0896919634 1 0 84c7ba46 c4e18dd6 50e219e0 ecad2386 7801e8d9 07d7df22 767a174e 3e805b2a cf19f7f7 84c7ba46 50e219e0 ecad2386 7801e8d9 07d7df22 767a174e 
8866493310 0 1 0eb72673 d2f72222 f028772b ecad2386 7801e8d9 07d7df22 a99f214a 834f84b2 76dc4769 0eb72673 f028772b ecad2386 7801e8d9 07d7df22 a99f214a 
9976961145 1 0 1fbe01fe f3845767 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a 07875ea4 aaffed8f 1fbe01fe 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a 
5943364421 0 1 e151e245 7e091613 f028772b ecad2386 7801e8d9 07d7df22 a99f214a 905d2fbc 1b13b020 e151e245 f028772b ecad2386 7801e8d9 07d7df22 a99f214a 
8778773294 0 1 5ee41ff2 17d996e6 f028772b ecad2386 7801e8d9 07d7df22 a99f214a fc7f99ee 70359270 5ee41ff2 f028772b ecad2386 7801e8d9 07d7df22 a99f214a 
4586344851 0 0 543a539e c7ca3108 3e814130 ecad2386 7801e8d9 07d7df22 a99f214a 37018b2d 24f6b932 543a539e 3e814130 ecad2386 7801e8d9 07d7df22 a99f214a 
4430474960 1 0 4dd0a958 79cf0c8d f028772b ecad2386 7801e8d9 07d7df22 a99f214a f6a5ae09 88fe1d5d 4dd0a958 f028772b ecad2386 7801e8d9 07d7df22 a99f214a 
5169380879 0 0 85f751fd c4e18dd6 50e219e0 396df801 2347f47a 0f2161f8 a99f214a 554d9f5f 36a30aeb 85f751fd 50e219e0 396df801 2347f47a 0f2161f8 a99f214a 
4812262951 1 0 85f751fd c4e18dd6 50e219e0 a079ef6b 2347f47a 75d80bbe a99f214a f8c8df20 be87996b 85f751fd 50e219e0 a079ef6b 2347f47a 75d80bbe a99f214a 
1736390000 1 0 1fbe01fe f3845767 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a cede6db1 a0f5f879 1fbe01fe 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a 
8773711631 0 0 1fbe01fe f3845767 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a 1cb5985e 1ccc7835 1fbe01fe 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a 
0200486071 0 1 5ee41ff2 17d996e6 f028772b ecad2386 7801e8d9 07d7df22 a99f214a d012a1cb ecb851b2 5ee41ff2 f028772b ecad2386 7801e8d9 07d7df22 a99f214a 
8771379386 0 1 e151e245 7e091613 f028772b ecad2386 7801e8d9 07d7df22 a99f214a 08dd2eb8 cdf6ea96 e151e245 f028772b ecad2386 7801e8d9 07d7df22 a99f214a 
9216291475 0 0 1fbe01fe f3845767 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a 9a5911ad 1ccc7835 1fbe01fe 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a 
558099372 0 0 85f751fd c4e18dd6 50e219e0 1779deee 2347f47a f95efa07 a99f214a 5a96d22e 9e3836ff 85f751fd 50e219e0 1779deee 2347f47a f95efa07 a99f214a 5
6026106882 0 0 030440fe 08ba7db9 76b2941d ecad2386 7801e8d9 07d7df22 a99f214a 8f6c30bb 744ae245 030440fe 76b2941d ecad2386 7801e8d9 07d7df22 a99f214a 
4628106108 1 0 85f751fd c4e18dd6 50e219e0 0acbeaa3 45a51db4 f95efa07 a99f214a 061893d4 68b900d9 85f751fd 50e219e0 0acbeaa3 45a51db4 f95efa07 a99f214a 
0831357375 0 0 1fbe01fe f3845767 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a 07875ea4 d787e91b 1fbe01fe 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a 
0760015892 0 0 6256f5b4 28f93029 f028772b ecad2386 7801e8d9 07d7df22 a99f214a 04a1662e 521f95fe 6256f5b4 f028772b ecad2386 7801e8d9 07d7df22 a99f214a 
064240144 0 0 1fbe01fe f3845767 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a c9758700 76dc4769 1fbe01fe 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a c
9394798455 0 0 543a539e c7ca3108 3e814130 ecad2386 7801e8d9 07d7df22 a99f214a 9ae68bb9 24f6b932 543a539e 3e814130 ecad2386 7801e8d9 07d7df22 a99f214a 
808171144 1 0 1fbe01fe f3845767 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a 2801fd97 575d0d2a 1fbe01fe 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a 2
3992804801 0 1 e151e245 7e091613 f028772b ecad2386 7801e8d9 07d7df22 a99f214a 931519c4 e9b8d8d7 e151e245 f028772b ecad2386 7801e8d9 07d7df22 a99f214a 
3707909570 0 0 85f751fd c4e18dd6 50e219e0 febd1138 82e27996 0f2161f8 a99f214a 1ce4451d 99e427c9 85f751fd 50e219e0 febd1138 82e27996 0f2161f8 a99f214a 
2619041235 1 0 0aab7161 660aeadc f028772b ecad2386 7801e8d9 07d7df22 a99f214a 0086332e 1f0bc64f 0aab7161 f028772b ecad2386 7801e8d9 07d7df22 a99f214a 
9251422697 0 0 1fbe01fe f3845767 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a 82310cab f39b265e 1fbe01fe 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a 
293608710 0 1 e023ba3e 75f9ddc3 f028772b ecad2386 7801e8d9 07d7df22 a99f214a f7c9ee04 56f254f5 e023ba3e f028772b ecad2386 7801e8d9 07d7df22 a99f214a f
8904346443 0 0 543a539e c7ca3108 3e814130 ecad2386 7801e8d9 07d7df22 a99f214a 6769bdb2 d787e91b 543a539e 3e814130 ecad2386 7801e8d9 07d7df22 a99f214a 
8217629851 0 0 1fbe01fe f3845767 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a 3738b922 d787e91b 1fbe01fe 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a 
5855462623 0 0 1fbe01fe f3845767 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a 8acb1161 1f0bc64f 1fbe01fe 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a 
1337920650 0 0 1fbe01fe f3845767 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a ed326aa2 4ceb2e0b 1fbe01fe 28905ebd ecad2386 7801e8d9 07d7df22 a99f214a 
